_id,classSessionId,courseSectionId,studentId,checkInTime,checkOutTime,status,method,createdAt
6a74b19515003d9820b4c932,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25556c0266186cf59ce,2026-07-22 17:03:36.396,2026-07-23 02:52:22.016,present,self,2026-07-22 17:03:36.396
6a74b19515003d9820b4c942,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25b56c0266186cf5b38,2026-07-22 17:01:03.785,2026-07-23 02:52:52.484,present,self,2026-07-22 17:01:03.785
6a74b19515003d9820b4c94f,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25c56c0266186cf5b5f,2026-07-22 17:09:27.646,2026-07-23 02:59:04.185,late,self,2026-07-22 17:09:27.646
6a74b19515003d9820b4c953,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25c56c0266186cf5b6b,2026-07-22 16:56:11.035,2026-07-23 02:55:41.493,present,self,2026-07-22 16:56:11.035
6a74b19515003d9820b4c955,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25c56c0266186cf5b71,2026-07-22 17:01:47.740,2026-07-23 02:54:23.626,present,self,2026-07-22 17:01:47.740
6a74b19515003d9820b4c95c,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25d56c0266186cf5b86,2026-07-22 16:59:59.087,2026-07-23 02:53:34.848,present,self,2026-07-22 16:59:59.087
6a74b19515003d9820b4c95d,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25d56c0266186cf5b89,2026-07-22 17:02:19.089,2026-07-23 02:53:57.279,present,self,2026-07-22 17:02:19.089
6a74b19515003d9820b4c95f,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25d56c0266186cf5b8f,2026-07-22 17:00:05.329,2026-07-23 02:51:25.690,present,self,2026-07-22 17:00:05.329
6a74b19515003d9820b4c960,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25d56c0266186cf5b92,2026-07-22 16:55:08.379,2026-07-23 02:53:44.663,present,self,2026-07-22 16:55:08.379
6a74b19515003d9820b4c961,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25d56c0266186cf5b95,2026-07-22 16:58:42.185,2026-07-23 02:56:01.852,present,self,2026-07-22 16:58:42.185
6a74b19515003d9820b4c966,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25d56c0266186cf5ba4,2026-07-22 17:00:02.590,2026-07-23 02:58:05.042,present,self,2026-07-22 17:00:02.590
6a74b19515003d9820b4c970,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25e56c0266186cf5bc2,2026-07-22 16:57:37.608,2026-07-23 02:30:49.606,early_leave,self,2026-07-22 16:57:37.608
6a74b19515003d9820b4c971,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25e56c0266186cf5bc5,2026-07-22 17:02:04.862,2026-07-23 02:56:54.381,present,self,2026-07-22 17:02:04.862
6a74b19515003d9820b4c979,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25e56c0266186cf5bdd,2026-07-22 16:57:37.751,2026-07-23 02:58:08.656,present,self,2026-07-22 16:57:37.751
6a74b19515003d9820b4c97e,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25e56c0266186cf5bec,2026-07-22 16:59:09.812,2026-07-23 02:54:12.053,present,self,2026-07-22 16:59:09.812
6a74b19515003d9820b4c982,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25f56c0266186cf5bf8,2026-07-22 16:56:03.174,2026-07-23 02:51:45.936,present,self,2026-07-22 16:56:03.174
6a74b19515003d9820b4c984,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25f56c0266186cf5bfe,2026-07-22 16:58:01.249,2026-07-23 02:56:19.039,present,self,2026-07-22 16:58:01.249
6a74b19515003d9820b4c98a,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25f56c0266186cf5c10,2026-07-22 16:57:58.742,2026-07-23 02:54:38.449,present,self,2026-07-22 16:57:58.742
6a74b19515003d9820b4c98b,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25f56c0266186cf5c13,,,absent,self,2026-07-22 17:00:00.000
6a74b19515003d9820b4c990,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f25f56c0266186cf5c22,2026-07-22 16:57:24.277,2026-07-23 02:51:52.481,present,self,2026-07-22 16:57:24.277
6a74b19515003d9820b4c9a5,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f26056c0266186cf5c61,2026-07-22 17:03:00.212,2026-07-23 02:58:22.720,present,self,2026-07-22 17:03:00.212
6a74b19515003d9820b4c9a9,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f26156c0266186cf5c6d,2026-07-22 17:00:41.325,2026-07-23 02:54:32.228,present,self,2026-07-22 17:00:41.325
6a74b19515003d9820b4c9b0,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f26156c0266186cf5c82,2026-07-22 17:01:26.189,2026-07-23 02:56:45.342,present,self,2026-07-22 17:01:26.189
6a74b19515003d9820b4c9b4,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f26156c0266186cf5c8e,2026-07-22 16:57:17.693,2026-07-23 02:18:33.519,early_leave,self,2026-07-22 16:57:17.693
6a74b19515003d9820b4c9b5,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f26156c0266186cf5c91,2026-07-22 17:03:37.668,2026-07-23 02:54:32.708,present,self,2026-07-22 17:03:37.668
6a74b19515003d9820b4c9b7,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f26156c0266186cf5c97,2026-07-22 17:00:20.737,2026-07-23 02:52:41.058,present,self,2026-07-22 17:00:20.737
6a74b19515003d9820b4c9b8,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f26156c0266186cf5c9a,2026-07-22 17:07:45.184,2026-07-23 02:56:52.163,late,self,2026-07-22 17:07:45.184
6a74b19515003d9820b4c9c0,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f26256c0266186cf5cb2,,,absent,self,2026-07-22 17:00:00.000
6a74b19515003d9820b4c9c1,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f26256c0266186cf5cb5,2026-07-22 16:56:02.616,2026-07-23 02:52:46.065,present,self,2026-07-22 16:56:02.616
6a74b19515003d9820b4c9c6,6a74b1070f9652431af301d9,6a71f25956c0266186cf5ab6,6a71f26256c0266186cf5cc4,2026-07-22 16:55:38.244,2026-07-23 02:58:18.458,present,self,2026-07-22 16:55:38.244
6a74b19515003d9820b4c9cd,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25456c0266186cf59b5,2026-07-22 17:18:03.909,2026-07-23 02:55:56.998,late,self,2026-07-22 17:18:03.909
6a74b19515003d9820b4c9d6,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25556c0266186cf59d1,,,absent,self,2026-07-22 17:00:00.000
6a74b19515003d9820b4c9d7,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25556c0266186cf59d4,2026-07-22 16:56:29.724,2026-07-23 02:10:26.334,early_leave,self,2026-07-22 16:56:29.724
6a74b19515003d9820b4c9db,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25b56c0266186cf5b1a,,,excused,self,2026-07-22 17:00:00.000
6a74b19515003d9820b4c9e1,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25b56c0266186cf5b2c,2026-07-22 17:01:24.074,2026-07-23 02:58:05.406,present,self,2026-07-22 17:01:24.074
6a74b19515003d9820b4c9ee,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25c56c0266186cf5b53,2026-07-22 16:57:25.626,2026-07-23 02:52:13.614,present,self,2026-07-22 16:57:25.626
6a74b19515003d9820b4c9ef,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25c56c0266186cf5b56,2026-07-22 17:07:47.355,2026-07-23 02:52:15.285,late,self,2026-07-22 17:07:47.355
6a74b19515003d9820b4c9f2,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25c56c0266186cf5b5f,2026-07-22 16:55:57.045,2026-07-23 02:53:04.759,present,self,2026-07-22 16:55:57.045
6a74b19515003d9820b4c9f3,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25c56c0266186cf5b62,2026-07-22 16:55:53.782,2026-07-23 02:56:06.138,present,self,2026-07-22 16:55:53.782
6a74b19515003d9820b4c9fd,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25d56c0266186cf5b80,2026-07-22 16:58:46.094,2026-07-23 02:58:07.334,present,self,2026-07-22 16:58:46.094
6a74b19515003d9820b4ca06,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25d56c0266186cf5b9b,2026-07-22 16:57:17.262,2026-07-23 02:51:55.250,present,self,2026-07-22 16:57:17.262
6a74b19515003d9820b4ca08,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25d56c0266186cf5ba1,2026-07-22 16:58:44.770,2026-07-23 02:59:06.571,present,self,2026-07-22 16:58:44.770
6a74b19515003d9820b4ca11,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25e56c0266186cf5bbc,2026-07-22 17:03:44.991,2026-07-23 02:52:06.036,present,self,2026-07-22 17:03:44.991
6a74b19515003d9820b4ca19,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25e56c0266186cf5bd4,2026-07-22 16:56:47.478,2026-07-23 02:51:41.785,present,self,2026-07-22 16:56:47.478
6a74b19515003d9820b4ca22,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25e56c0266186cf5bef,,,absent,self,2026-07-22 17:00:00.000
6a74b19515003d9820b4ca26,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25f56c0266186cf5bfb,2026-07-22 17:00:01.851,2026-07-23 02:50:16.101,present,self,2026-07-22 17:00:01.851
6a74b19515003d9820b4ca27,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25f56c0266186cf5bfe,2026-07-22 17:03:03.636,2026-07-23 02:28:33.815,early_leave,self,2026-07-22 17:03:03.636
6a74b19515003d9820b4ca29,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25f56c0266186cf5c04,2026-07-22 16:57:53.687,2026-07-23 02:17:23.397,early_leave,self,2026-07-22 16:57:53.687
6a74b19515003d9820b4ca33,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25f56c0266186cf5c22,,,absent,self,2026-07-22 17:00:00.000
6a74b19515003d9820b4ca34,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f25f56c0266186cf5c25,2026-07-22 16:59:05.991,2026-07-23 02:50:54.803,present,self,2026-07-22 16:59:05.991
6a74b19515003d9820b4ca3c,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f26056c0266186cf5c3d,2026-07-22 17:00:04.446,2026-07-23 02:51:26.671,present,self,2026-07-22 17:00:04.446
6a74b19515003d9820b4ca3d,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f26056c0266186cf5c40,2026-07-22 17:03:01.641,2026-07-23 02:52:06.845,present,self,2026-07-22 17:03:01.641
6a74b19515003d9820b4ca3e,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f26056c0266186cf5c43,2026-07-22 16:55:23.623,2026-07-23 02:51:54.852,present,self,2026-07-22 16:55:23.623
6a74b19515003d9820b4ca3f,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f26056c0266186cf5c46,2026-07-22 17:06:40.381,2026-07-23 02:55:25.104,late,self,2026-07-22 17:06:40.381
6a74b19515003d9820b4ca41,6a74b10c0f9652431af3027f,6a71f25956c0266186cf5abc,6a71f26056c0266186cf5c4c,2026-07-22 16:56:26.640,2026-07-23 02:50:56.992,present,self,2026-07-22 16:56:26.640
