_id,studentId,courseSectionId,status
6a71f26256c0266186cf5cd3,6a71f25b56c0266186cf5b11,6a71f25956c0266186cf5ab6,enrolled
6a71f26256c0266186cf5cd7,6a71f25b56c0266186cf5b14,6a71f25956c0266186cf5ab6,enrolled
6a71f26256c0266186cf5cdb,6a71f25b56c0266186cf5b17,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5cdf,6a71f25b56c0266186cf5b1a,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5ce3,6a71f25b56c0266186cf5b1d,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5ce7,6a71f25b56c0266186cf5b20,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5ceb,6a71f25b56c0266186cf5b23,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5cef,6a71f25b56c0266186cf5b26,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5cf3,6a71f25b56c0266186cf5b29,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5cf7,6a71f25b56c0266186cf5b2c,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5cfb,6a71f25b56c0266186cf5b2f,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5cff,6a71f25b56c0266186cf5b32,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5d03,6a71f25b56c0266186cf5b35,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5d07,6a71f25b56c0266186cf5b38,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5d0b,6a71f25b56c0266186cf5b3b,6a71f25956c0266186cf5ab6,enrolled
6a71f26356c0266186cf5d0f,6a71f25b56c0266186cf5b3e,6a71f25956c0266186cf5ab6,enrolled
6a71f26456c0266186cf5d13,6a71f25b56c0266186cf5b41,6a71f25956c0266186cf5ab6,enrolled
6a71f26456c0266186cf5d17,6a71f25c56c0266186cf5b44,6a71f25956c0266186cf5ab6,enrolled
6a71f26456c0266186cf5d1b,6a71f25c56c0266186cf5b47,6a71f25956c0266186cf5ab6,enrolled
6a71f26456c0266186cf5d1f,6a71f25c56c0266186cf5b4a,6a71f25956c0266186cf5ab6,enrolled
6a71f26456c0266186cf5d23,6a71f25c56c0266186cf5b4d,6a71f25956c0266186cf5ab6,enrolled
6a71f26456c0266186cf5d27,6a71f25c56c0266186cf5b50,6a71f25956c0266186cf5ab6,enrolled
6a71f26456c0266186cf5d2b,6a71f25c56c0266186cf5b53,6a71f25956c0266186cf5ab6,enrolled
6a71f26456c0266186cf5d2f,6a71f25c56c0266186cf5b56,6a71f25956c0266186cf5ab6,enrolled
6a71f26456c0266186cf5d33,6a71f25c56c0266186cf5b59,6a71f25956c0266186cf5ab6,enrolled
6a71f26456c0266186cf5d37,6a71f25c56c0266186cf5b5c,6a71f25956c0266186cf5abc,enrolled
6a71f26456c0266186cf5d3b,6a71f25c56c0266186cf5b5f,6a71f25956c0266186cf5abc,enrolled
6a71f26456c0266186cf5d3f,6a71f25c56c0266186cf5b62,6a71f25956c0266186cf5abc,enrolled
6a71f26456c0266186cf5d43,6a71f25c56c0266186cf5b65,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d47,6a71f25c56c0266186cf5b68,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d4b,6a71f25c56c0266186cf5b6b,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d4f,6a71f25c56c0266186cf5b6e,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d53,6a71f25c56c0266186cf5b71,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d57,6a71f25c56c0266186cf5b74,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d5b,6a71f25c56c0266186cf5b77,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d5f,6a71f25c56c0266186cf5b7a,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d63,6a71f25d56c0266186cf5b7d,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d67,6a71f25d56c0266186cf5b80,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d6b,6a71f25d56c0266186cf5b83,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d6f,6a71f25d56c0266186cf5b86,6a71f25956c0266186cf5abc,enrolled
6a71f26556c0266186cf5d73,6a71f25d56c0266186cf5b89,6a71f25956c0266186cf5abc,enrolled
6a71f26656c0266186cf5d77,6a71f25d56c0266186cf5b8c,6a71f25956c0266186cf5abc,enrolled
6a71f26656c0266186cf5d7b,6a71f25d56c0266186cf5b8f,6a71f25956c0266186cf5abc,enrolled
6a71f26656c0266186cf5d7f,6a71f25d56c0266186cf5b92,6a71f25956c0266186cf5abc,enrolled
6a71f26656c0266186cf5d83,6a71f25d56c0266186cf5b95,6a71f25956c0266186cf5abc,enrolled
6a71f26656c0266186cf5d87,6a71f25d56c0266186cf5b98,6a71f25956c0266186cf5abc,enrolled
6a71f26656c0266186cf5d8b,6a71f25d56c0266186cf5b9b,6a71f25956c0266186cf5abc,enrolled
