_id,courseSectionId,date,startPeriod,numPeriods,room,status
6a71f2aa566111f977805a7e,6a71f25956c0266186cf5ab6,2026-01-05 17:00:00,1,3,A101,completed
6a71f2aa566111f977805a82,6a71f25956c0266186cf5ab6,2026-01-12 17:00:00,1,3,A101,completed
6a71f2aa566111f977805a87,6a71f25956c0266186cf5ab6,2026-01-19 17:00:00,1,3,A101,completed
6a71f2aa566111f977805a8a,6a71f25956c0266186cf5ab6,2026-01-26 17:00:00,1,3,A101,completed
6a71f2aa566111f977805a8e,6a71f25956c0266186cf5ab6,2026-02-02 17:00:00,1,3,A101,completed
6a71f2aa566111f977805a93,6a71f25956c0266186cf5ab6,2026-02-09 17:00:00,1,3,A101,completed
6a71f2aa566111f977805a97,6a71f25956c0266186cf5ab6,2026-02-16 17:00:00,1,3,A101,completed
6a71f2aa566111f977805a9b,6a71f25956c0266186cf5ab6,2026-02-23 17:00:00,1,3,A101,completed
6a71f2aa566111f977805a9e,6a71f25956c0266186cf5ab6,2026-03-02 17:00:00,1,3,A101,completed
6a71f2aa566111f977805aa1,6a71f25956c0266186cf5ab6,2026-03-09 17:00:00,1,3,A101,completed
6a71f2aa566111f977805aa4,6a71f25956c0266186cf5ab6,2026-03-16 17:00:00,1,3,A101,completed
6a71f2aa566111f977805aa7,6a71f25956c0266186cf5ab6,2026-03-23 17:00:00,1,3,A101,completed
6a71f2aa566111f977805aaa,6a71f25956c0266186cf5ab6,2026-03-30 17:00:00,1,3,A101,completed
6a71f2ab566111f977805aad,6a71f25956c0266186cf5ab6,2026-04-06 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ab0,6a71f25956c0266186cf5ab6,2026-04-13 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ab3,6a71f25956c0266186cf5ab6,2026-04-20 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ab6,6a71f25956c0266186cf5ab6,2026-04-27 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ab9,6a71f25956c0266186cf5ab6,2026-05-04 17:00:00,1,3,A101,completed
6a71f2ab566111f977805abc,6a71f25956c0266186cf5ab6,2026-05-11 17:00:00,1,3,A101,completed
6a71f2ab566111f977805abf,6a71f25956c0266186cf5ab6,2026-05-18 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ac2,6a71f25956c0266186cf5ab6,2026-05-25 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ac5,6a71f25956c0266186cf5ab6,2026-06-01 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ac8,6a71f25956c0266186cf5ab6,2026-06-08 17:00:00,1,3,A101,completed
6a71f2ab566111f977805acb,6a71f25956c0266186cf5ab6,2026-06-15 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ace,6a71f25956c0266186cf5ab6,2026-06-22 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ad1,6a71f25956c0266186cf5ab6,2026-06-29 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ad4,6a71f25956c0266186cf5ab6,2026-07-06 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ad7,6a71f25956c0266186cf5ab6,2026-07-13 17:00:00,1,3,A101,completed
6a71f2ab566111f977805ada,6a71f25956c0266186cf5ab6,2026-07-20 17:00:00,1,3,A101,completed
6a71f2ab566111f977805add,6a71f25956c0266186cf5ab6,2026-07-27 17:00:00,1,3,A101,completed
6a71f2c1566111f977806172,6a71f25956c0266186cf5abc,2026-01-05 17:00:00,1,3,A102,completed
6a71f2c1566111f977806175,6a71f25956c0266186cf5abc,2026-01-12 17:00:00,1,3,A102,completed
6a71f2c1566111f977806178,6a71f25956c0266186cf5abc,2026-01-19 17:00:00,1,3,A102,completed
6a71f2c1566111f97780617b,6a71f25956c0266186cf5abc,2026-01-26 17:00:00,1,3,A102,completed
6a71f2c1566111f97780617e,6a71f25956c0266186cf5abc,2026-02-02 17:00:00,1,3,A102,completed
6a71f2c1566111f977806181,6a71f25956c0266186cf5abc,2026-02-09 17:00:00,1,3,A102,completed
6a71f2c1566111f977806184,6a71f25956c0266186cf5abc,2026-02-16 17:00:00,1,3,A102,completed
6a71f2c1566111f977806187,6a71f25956c0266186cf5abc,2026-02-23 17:00:00,1,3,A102,completed
6a71f2c1566111f97780618a,6a71f25956c0266186cf5abc,2026-03-02 17:00:00,1,3,A102,completed
6a71f2c1566111f97780618d,6a71f25956c0266186cf5abc,2026-03-09 17:00:00,1,3,A102,completed
6a71f2c1566111f977806190,6a71f25956c0266186cf5abc,2026-03-16 17:00:00,1,3,A102,completed
6a71f2c1566111f977806193,6a71f25956c0266186cf5abc,2026-03-23 17:00:00,1,3,A102,completed
6a71f2c2566111f977806196,6a71f25956c0266186cf5abc,2026-03-30 17:00:00,1,3,A102,completed
6a71f2c2566111f977806199,6a71f25956c0266186cf5abc,2026-04-06 17:00:00,1,3,A102,completed
6a71f2c2566111f97780619c,6a71f25956c0266186cf5abc,2026-04-13 17:00:00,1,3,A102,completed
6a71f2c2566111f97780619f,6a71f25956c0266186cf5abc,2026-04-20 17:00:00,1,3,A102,completed
6a71f2c2566111f9778061a2,6a71f25956c0266186cf5abc,2026-04-27 17:00:00,1,3,A102,completed
6a71f2c2566111f9778061a5,6a71f25956c0266186cf5abc,2026-05-04 17:00:00,1,3,A102,completed
6a71f2c2566111f9778061a8,6a71f25956c0266186cf5abc,2026-05-11 17:00:00,1,3,A102,completed
6a71f2c2566111f9778061ab,6a71f25956c0266186cf5abc,2026-05-18 17:00:00,1,3,A102,completed
6a71f2c2566111f9778061ae,6a71f25956c0266186cf5abc,2026-05-25 17:00:00,1,3,A102,completed
6a71f2c2566111f9778061b1,6a71f25956c0266186cf5abc,2026-06-01 17:00:00,1,3,A102,completed
6a71f2c2566111f9778061b4,6a71f25956c0266186cf5abc,2026-06-08 17:00:00,1,3,A102,completed
6a71f2c2566111f9778061b7,6a71f25956c0266186cf5abc,2026-06-15 17:00:00,1,3,A102,completed
6a71f2c2566111f9778061ba,6a71f25956c0266186cf5abc,2026-06-22 17:00:00,1,3,A102,completed
6a71f2c2566111f9778061bd,6a71f25956c0266186cf5abc,2026-06-29 17:00:00,1,3,A102,completed
