_id,subjectId,semesterId,sectionCode,status
6a71f25956c0266186cf5ab6,6a71f25556c0266186cf59e3,6a71f25556c0266186cf59dd,CS101-HK2-2026-01,open
6a71f25956c0266186cf5abc,6a71f25556c0266186cf59e3,6a71f25556c0266186cf59dd,CS101-HK2-2026-02,open
6a71f25956c0266186cf5ac2,6a71f25556c0266186cf59e9,6a71f25556c0266186cf59dd,MATH101-HK2-2026-01,open
6a71f25956c0266186cf5ac8,6a71f25556c0266186cf59ec,6a71f25556c0266186cf59dd,MATH102-HK2-2026-01,open
6a71f25956c0266186cf5ace,6a71f25556c0266186cf59f2,6a71f25556c0266186cf59dd,ENG101-HK2-2026-01,open
6a71f25a56c0266186cf5ad4,6a71f25656c0266186cf59f5,6a71f25556c0266186cf59dd,ENG102-HK2-2026-01,open
6a71f25a56c0266186cf5ada,6a71f25656c0266186cf59fb,6a71f25556c0266186cf59dd,CS201-HK2-2026-01,open
6a71f25a56c0266186cf5ae0,6a71f25656c0266186cf59fb,6a71f25556c0266186cf59dd,CS201-HK2-2026-02,open
6a71f25a56c0266186cf5ae6,6a71f25656c0266186cf59fe,6a71f25556c0266186cf59dd,CS202-HK2-2026-01,open
6a71f25a56c0266186cf5aec,6a71f25556c0266186cf59ef,6a71f25556c0266186cf59dd,MATH201-HK2-2026-01,open
6a71f25a56c0266186cf5af2,6a71f25656c0266186cf5a01,6a71f25556c0266186cf59dd,CS301-HK2-2026-01,open
6a71f25a56c0266186cf5af8,6a71f25656c0266186cf5a04,6a71f25556c0266186cf59dd,CS302-HK2-2026-01,open
6a71f25a56c0266186cf5afe,6a71f25656c0266186cf5a0d,6a71f25556c0266186cf59dd,CS403-HK2-2026-01,open
6a71f25a56c0266186cf5b04,6a71f25656c0266186cf5a07,6a71f25556c0266186cf59e0,CS401-HE-2026-01,open
6a71f25a56c0266186cf5b0a,6a71f25656c0266186cf5a0a,6a71f25556c0266186cf59e0,CS402-HE-2026-01,open
6a749bcdf6ccb57abf5e5d08,6a71f25556c0266186cf59e3,6a71f25556c0266186cf59dd,CS-24H-TEST,open
